Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.74,307.17,307.51,579.21,123,307.482
20230317  03:05:00,307.72,307.72,307.42,307.62,82.14,21,307.546
20230317  03:10:00,307.71,307.78,307.51,307.55,213.84,36,307.7
20230317  03:15:00,307.54,307.67,307.48,307.5,109.77,22,307.56
20230317  03:20:00,307.41,307.62,307.41,307.6,54.45,13,307.505
20230317  03:25:00,307.55,307.89,307.54,307.75,919.03,130,307.809
20230317  03:30:00,307.75,307.82,307.41,307.58,355.79,59,307.641
20230317  03:35:00,307.59,307.73,307.59,307.7,9.8,7,307.671
20230317  03:40:00,307.72,307.72,307.39,307.43,184.57,36,307.514
20230317  03:45:00,307.44,307.5,307.31,307.42,121.6,28,307.408
20230317  03:50:00,307.38,307.43,306.98,307.09,110.26,29,307.215
20230317  03:55:00,307.09,307.16,307.04,307.14,39.65,9,307.067
20230317  04:00:00,307.38,307.52,307.3,307.36,44.99,12,307.43
20230317  04:05:00,307.31,307.36,307.18,307.18,135.1,23,307.279
20230317  04:10:00,307.18,307.18,306.84,306.85,316.8,42,306.942
20230317  04:15:00,306.85,307.14,306.7,307.01,136.4,28,306.841
20230317  04:20:00,307.12,307.12,306.96,306.96,97,12,307.037
20230317  04:25:00,307.14,307.17,306.96,307.17,55,10,307.098
20230317  04:30:00,307.07,307.24,307.07,307.12,38.5,10,307.131
20230317  04:35:00,307.13,307.2,307.13,307.2,22.22,6,307.158
20230317  04:40:00,307.11,307.11,306.96,306.96,14.5,4,307.007
20230317  04:45:00,306.89,306.94,306.88,306.91,17,5,306.904
20230317  04:50:00,307.08,307.2,307.01,307.2,10,6,307.099
20230317  04:55:00,307.15,307.35,307.15,307.2,58.99,13,307.245
20230317  05:00:00,307.21,307.28,307.16,307.28,21.86,7,307.222
20230317  05:05:00,307.17,307.21,307.11,307.21,18,10,307.189
20230317  05:10:00,306.88,306.93,306.8,306.88,45.33,16,306.854
20230317  05:15:00,306.9,306.95,306.82,306.82,32.55,17,306.894
20230317  05:20:00,306.84,306.98,306.75,306.98,42.6,9,306.863
20230317  05:25:00,306.99,307.07,306.9,307.07,35,6,306.917
20230317  05:30:00,307.13,307.13,307.03,307.12,52.73,14,307.091
20230317  05:35:00,307.2,307.29,307.2,307.25,36.8,9,307.269
20230317  05:40:00,307.27,307.27,307.19,307.23,46,14,307.213
20230317  05:45:00,307.13,307.13,307.07,307.12,31.7,11,307.113
20230317  05:50:00,307.25,307.34,307.24,307.3,42.5,25,307.303
20230317  05:55:00,307.24,307.32,307.02,307.02,14.16,8,307.135
20230317  06:00:00,307.03,307.22,306.92,307.16,479.64,86,307.086
20230317  06:05:00,307.1,307.25,307.1,307.22,119.15,40,307.183
20230317  06:10:00,307.19,307.27,306.95,307.07,74,28,307.097
20230317  06:15:00,307.06,307.08,306.85,306.85,159.26,37,307.006
20230317  06:20:00,306.88,307.02,306.83,306.96,111.71,36,306.9
20230317  06:25:00,306.96,306.96,306.76,306.85,131.71,37,306.845
20230317  06:30:00,306.82,306.83,306.73,306.75,176.42,54,306.759
20230317  06:35:00,306.72,306.72,306.5,306.6,259.59,53,306.606
20230317  06:40:00,306.63,307.05,306.63,307.04,187.48,66,306.757
20230317  06:45:00,307.01,307.17,307.01,307.11,456.32,161,307.118
20230317  06:50:00,307.13,307.41,307.1,307.36,211.48,85,307.213
20230317  06:55:00,307.27,307.36,307.21,307.33,100.48,48,307.278
20230317  07:00:00,307.03,308.03,306.58,307.21,1244.42,340,307.118
20230317  07:05:00,307.19,307.24,307.06,307.13,151.8,60,307.156
20230317  07:10:00,307.13,307.19,307.05,307.05,112.25,52,307.129
20230317  07:15:00,307.1,307.23,306.83,306.87,369.72,159,307.033
20230317  07:20:00,306.86,306.86,305.99,306.04,899.68,317,306.295
20230317  07:25:00,306.01,306.15,305.68,305.8,923.29,378,305.899
20230317  07:30:00,305.81,306.3,305.81,306.18,1001.77,329,306.055
20230317  07:35:00,306.15,306.23,305.87,305.95,772.17,289,306.057
20230317  07:40:00,305.99,306.23,305.96,306.09,1090.54,327,306.104
20230317  07:45:00,306.08,306.15,305.68,305.71,758,291,305.999
20230317  07:50:00,305.68,306.23,305.52,306.23,1468.03,514,305.92
20230317  07:55:00,306.22,306.22,305.84,305.91,559.67,312,305.993
20230317  08:00:00,305.92,306.4,305.9,306.35,344.89,231,306.173
20230317  08:05:00,306.38,306.58,306.29,306.49,525.41,262,306.442
20230317  08:10:00,306.5,306.64,306.49,306.58,684.65,187,306.548
