Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.78,307.17,307.5,984.96,202,307.543
20230317  03:20:00,307.41,307.89,307.41,307.7,1339.07,209,307.751
20230317  03:40:00,307.72,307.72,306.98,307.14,456.08,102,307.375
20230317  04:00:00,307.38,307.52,306.7,307.01,633.29,105,307.027
20230317  04:20:00,307.12,307.24,306.96,307.2,212.72,38,307.082
20230317  04:40:00,307.11,307.35,306.88,307.2,100.49,28,307.138
20230317  05:00:00,307.21,307.28,306.8,306.82,117.74,50,306.985
20230317  05:20:00,306.84,307.29,306.75,307.25,167.13,38,307.036
20230317  05:40:00,307.27,307.34,307.02,307.02,134.36,58,307.209
20230317  06:00:00,307.03,307.27,306.85,306.85,832.05,191,307.085
20230317  06:20:00,306.88,307.02,306.5,306.6,679.43,180,306.741
20230317  06:40:00,306.63,307.41,306.63,307.33,955.76,360,307.085
20230317  07:00:00,307.03,308.03,306.58,306.87,1878.19,611,307.105
20230317  07:20:00,306.86,306.86,305.68,305.95,3596.91,1313,306.075
20230317  07:40:00,305.99,306.23,305.52,305.91,3876.24,1444,305.998
20230317  08:00:00,305.92,306.64,305.9,306.49,2001.03,850,306.434
20230317  08:20:00,306.49,307.86,306.31,307.78,33797.91,19012,306.909
20230317  08:40:00,307.8,308.03,306.49,307.63,37258.57,23071,307.086
20230317  09:00:00,307.68,309.15,306.9,307.01,38376.6,23666,308.138
20230317  09:20:00,307.02,307.23,304.76,305.48,49213.6,30573,306.011
20230317  09:40:00,305.48,305.57,304.23,305.16,29589.19,17331,304.853
20230317  10:00:00,305.15,305.72,304.44,305.43,20372.42,11276,305.096
20230317  10:20:00,305.45,305.6,303.68,303.9,22743.89,12300,304.449
20230317  10:40:00,303.91,304.6,303.37,304.45,17970.96,11132,304.057
20230317  11:00:00,304.47,305.35,304.22,304.58,19272.87,11422,304.828
20230317  11:20:00,304.59,306.07,304.28,305.26,21230.56,12782,305.312
20230317  11:40:00,305.28,305.43,304.44,305.01,13196.41,7433,305.015
20230317  12:00:00,305,306.15,304.95,305.76,21085.51,10875,305.583
20230317  12:20:00,305.78,306.41,305.26,305.81,15942.05,8619,305.808
20230317  12:40:00,305.82,306.13,305.16,306.05,14620.05,7897,305.712
20230317  13:00:00,306.06,306.53,304.85,305.02,19306.87,11112,305.634
20230317  13:20:00,305.02,305.14,304.16,304.44,18407.58,10369,304.55
20230317  13:40:00,304.43,304.93,303.73,304.63,19134.63,11023,304.324
20230317  14:00:00,304.66,305.69,304.23,305.39,27934.12,15481,304.888
20230317  14:20:00,305.38,305.77,304.72,304.99,25771.77,12625,305.237
20230317  14:40:00,304.97,305.71,304.59,305.33,53408.21,28742,305.189
20230317  15:00:00,305.32,305.9,305.3,305.65,9645.62,1796,305.573
20230317  15:20:00,305.65,305.65,305.36,305.39,4282.7,453,305.423
20230317  15:40:00,305.37,305.46,305.25,305.33,1408.46,364,305.345
20230317  16:00:00,305.27,305.54,305.21,305.4,609.16,264,305.339
20230317  16:20:00,305.54,305.74,305.5,305.7,342.79,108,305.603
20230317  16:40:00,305.7,305.75,305.67,305.7,344.89,99,305.705
20230317  17:00:00,305.68,305.77,305.36,305.72,32503.6,44,305.361
20230317  17:20:00,305.72,305.75,305.6,305.7,298.37,50,305.718
20230317  17:40:00,305.7,305.79,305.7,305.77,101.1,34,305.745
20230317  18:00:00,305.7,305.75,305.7,305.7,28.07,16,305.705
20230317  18:20:00,305.7,305.76,305.66,305.66,42.73,15,305.728
20230317  18:40:00,305.64,305.77,305.02,305.5,286.82,54,305.62
20230320  03:00:00,304,304,301.58,302.12,502.61,197,303.351
20230320  03:20:00,302.2,303.57,302.2,303.57,305.84,92,302.642
20230320  03:40:00,303.55,304.14,303.48,304.03,204.38,64,303.704
20230320  04:00:00,304.23,305,303.94,303.95,341.97,112,304.473
20230320  04:20:00,304.1,305.17,303.92,304.89,217.46,71,304.535
20230320  04:40:00,304.81,305.19,304.66,304.91,120.58,49,304.893
20230320  05:00:00,304.91,305.7,304.66,305.01,304.91,104,305.328
20230320  05:20:00,304.84,305.2,304.84,305.18,397.17,99,304.973
20230320  05:40:00,305.21,305.4,304.94,305.16,541.95,124,305.206
20230320  06:00:00,305.13,305.18,304.36,304.4,625.98,177,304.763
20230320  06:20:00,304.49,305.27,304.28,304.49,855.05,293,304.713
20230320  06:40:00,304.44,304.72,304.09,304.65,780.21,330,304.428
20230320  07:00:00,304.49,305.69,302.15,304.5,2115.33,669,304.479
20230320  07:20:00,304.43,305.59,304.3,305.31,1394.43,715,305.014
20230320  07:40:00,305.32,305.86,305,305.47,2320.47,876,305.5
20230320  08:00:00,305.5,305.52,304.59,304.6,2876.7,1261,305.042
20230320  08:20:00,304.64,304.74,302.63,303.57,32506.13,19207,303.734
