Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.74,307.17,307.39,525.35,112,307.476
20230317  03:03:00,307.55,307.72,307.47,307.72,59.85,12,307.558
20230317  03:06:00,307.59,307.67,307.42,307.6,74.15,18,307.53
20230317  03:09:00,307.66,307.78,307.62,307.78,111.99,19,307.72
20230317  03:12:00,307.76,307.76,307.51,307.55,103.85,19,307.676
20230317  03:15:00,307.54,307.67,307.54,307.6,43.88,12,307.643
20230317  03:18:00,307.53,307.58,307.41,307.52,87.84,16,307.5
20230317  03:21:00,307.49,307.53,307.49,307.53,25,4,307.503
20230317  03:24:00,307.55,307.62,307.54,307.54,16.5,5,307.558
20230317  03:27:00,307.7,307.89,307.7,307.75,910.03,128,307.811
20230317  03:30:00,307.75,307.82,307.5,307.5,220.79,40,307.713
20230317  03:33:00,307.47,307.59,307.41,307.58,135,19,307.523
20230317  03:36:00,307.59,307.67,307.59,307.67,6,4,307.638
20230317  03:39:00,307.73,307.73,307.59,307.59,52.28,13,307.636
20230317  03:42:00,307.53,307.53,307.39,307.43,136.09,26,307.473
20230317  03:45:00,307.44,307.5,307.38,307.38,61.93,15,307.445
20230317  03:48:00,307.34,307.42,307.31,307.37,70.66,17,307.372
20230317  03:51:00,307.43,307.43,306.98,307.09,84.77,22,307.214
20230317  03:54:00,307.1,307.1,307.04,307.04,38.5,7,307.065
20230317  03:57:00,307.11,307.16,307.04,307.14,15.65,5,307.095
20230317  04:00:00,307.38,307.45,307.3,307.45,26.48,6,307.398
20230317  04:03:00,307.47,307.52,307.36,307.36,18.51,6,307.477
20230317  04:06:00,307.31,307.36,307.23,307.24,119.6,19,307.279
20230317  04:09:00,307.33,307.33,307.16,307.16,48.5,9,307.202
20230317  04:12:00,307.07,307.07,306.84,306.85,283.8,37,306.916
20230317  04:15:00,306.85,307.14,306.7,307.09,131.4,27,306.835
20230317  04:18:00,307.01,307.12,307.01,307.09,53,7,307.096
20230317  04:21:00,307.03,307.03,306.96,306.96,49,6,306.97
20230317  04:24:00,307.14,307.14,307.1,307.1,44,7,307.128
20230317  04:27:00,306.96,307.17,306.96,307.17,11,3,306.979
20230317  04:30:00,307.07,307.12,307.07,307.12,22,4,307.115
20230317  04:33:00,307.09,307.24,307.09,307.13,26.72,8,307.144
20230317  04:36:00,307.15,307.19,307.15,307.19,11,3,307.18
20230317  04:39:00,307.2,307.2,307.2,307.2,1,1,307.2
20230317  04:42:00,307.11,307.11,306.96,306.96,14.5,4,307.007
20230317  04:45:00,306.89,306.94,306.88,306.94,7,3,306.896
20230317  04:48:00,306.91,307.08,306.91,307.08,11,3,306.925
20230317  04:51:00,307.06,307.06,307.01,307.01,6,2,307.052
20230317  04:54:00,307.2,307.2,307.15,307.18,31,8,307.166
20230317  04:57:00,307.26,307.35,307.2,307.2,30.99,8,307.319
20230317  05:00:00,307.21,307.24,307.16,307.24,16.98,6,307.205
20230317  05:03:00,307.28,307.28,307.28,307.28,4.88,1,307.28
20230317  05:06:00,307.17,307.2,307.11,307.11,14,9,307.183
20230317  05:09:00,307.21,307.21,307.21,307.21,4,1,307.21
20230317  05:12:00,306.88,306.93,306.8,306.88,45.33,16,306.854
20230317  05:15:00,306.9,306.95,306.86,306.93,18.93,12,306.91
20230317  05:18:00,306.88,306.93,306.82,306.84,18.62,6,306.863
20230317  05:21:00,306.75,306.98,306.75,306.98,37.6,8,306.866
20230317  05:24:00,306.99,306.99,306.9,306.9,34,5,306.912
20230317  05:27:00,307.07,307.07,307.07,307.07,1,1,307.07
20230317  05:30:00,307.13,307.13,307.03,307.03,46.93,11,307.087
20230317  05:33:00,307.12,307.12,307.11,307.12,5.8,3,307.118
20230317  05:36:00,307.2,307.22,307.2,307.22,5,2,307.216
20230317  05:39:00,307.25,307.29,307.22,307.22,39.2,12,307.274
20230317  05:42:00,307.2,307.27,307.19,307.23,38.6,9,307.204
20230317  05:45:00,307.13,307.13,307.07,307.07,8,4,307.109
20230317  05:48:00,307.11,307.34,307.11,307.31,55.2,26,307.231
20230317  05:51:00,307.26,307.27,307.24,307.24,10,5,307.25
20230317  05:54:00,307.3,307.32,307.24,307.32,6,4,307.277
20230317  05:57:00,307.19,307.19,307.02,307.02,9.16,5,307.06
