Time,Open,High,Low,Close,Volume,Count,Wap
20230317  03:00:00,307.45,307.89,307.17,307.75,1958.44,345,307.667
20230317  03:30:00,307.75,307.82,306.98,307.14,821.67,168,307.493
20230317  04:00:00,307.38,307.52,306.7,307.17,785.29,127,307.033
20230317  04:30:00,307.07,307.35,306.88,307.2,161.21,44,307.139
20230317  05:00:00,307.21,307.28,306.75,307.07,195.34,65,306.946
20230317  05:30:00,307.13,307.34,307.02,307.02,223.89,81,307.191
20230317  06:00:00,307.03,307.27,306.76,306.85,1075.47,264,307.037
20230317  06:30:00,306.82,307.41,306.5,307.33,1391.77,467,306.954
20230317  07:00:00,307.03,308.03,305.68,305.8,3701.16,1306,306.607
20230317  07:30:00,305.81,306.3,305.52,305.91,5650.18,2062,306.016
20230317  08:00:00,305.92,307.1,305.9,306.78,6690.07,2205,306.743
20230317  08:30:00,306.72,308.03,306.31,307.63,66367.44,40728,307.011
20230317  09:00:00,307.68,309.15,305.81,306.2,63388.04,39435,307.443
20230317  09:30:00,306.21,306.59,304.23,305.16,53791.35,32135,305.204
20230317  10:00:00,305.15,305.72,303.68,304.27,35053.29,18774,304.822
20230317  10:30:00,304.28,304.92,303.37,304.45,26033.98,15934,304.182
20230317  11:00:00,304.47,305.35,304.22,305.12,26524.35,16121,304.804
20230317  11:30:00,305.12,306.07,304.44,305.01,27175.49,15516,305.321
20230317  12:00:00,305,306.41,304.95,305.76,28390.78,14774,305.678
20230317  12:30:00,305.75,306.3,305.16,306.05,23256.83,12617,305.703
20230317  13:00:00,306.06,306.53,304.25,304.37,28297.3,16156,305.312
20230317  13:30:00,304.39,304.93,303.73,304.63,28551.78,16348,304.376
20230317  14:00:00,304.66,305.77,304.23,305.65,38763.07,20866,305.057
20230317  14:30:00,305.64,305.71,304.59,305.33,68351.03,35982,305.159
20230317  15:00:00,305.32,305.9,305.3,305.58,13532.49,2040,305.527
20230317  15:30:00,305.52,305.57,305.25,305.33,1804.29,573,305.38
20230317  16:00:00,305.27,305.7,305.21,305.61,852.16,339,305.405
20230317  16:30:00,305.63,305.75,305.63,305.7,444.68,132,305.7
20230317  17:00:00,305.68,305.77,305.36,305.72,32549.75,66,305.362
20230317  17:30:00,305.72,305.79,305.6,305.77,353.32,62,305.725
20230317  18:00:00,305.7,305.76,305.67,305.67,63.58,26,305.725
20230317  18:30:00,305.7,305.77,305.02,305.5,294.04,59,305.621
20230320  03:00:00,304,304,301.58,302.54,688.37,250,303.137
20230320  03:30:00,302.58,304.14,302.44,304.03,324.46,103,303.361
20230320  04:00:00,304.23,305,303.92,304.14,441.18,142,304.381
20230320  04:30:00,304.33,305.19,304.33,304.91,238.83,90,304.911
20230320  05:00:00,304.91,305.7,304.66,304.98,387.54,139,305.242
20230320  05:30:00,304.98,305.4,304.85,305.16,856.49,188,305.125
20230320  06:00:00,305.13,305.18,304.28,304.95,990.2,304,304.711
20230320  06:30:00,304.93,305.27,304.09,304.65,1271.04,496,304.564
20230320  07:00:00,304.49,305.69,302.15,304.73,2697.33,968,304.553
20230320  07:30:00,304.79,305.86,304.68,305.47,3132.9,1292,305.41
20230320  08:00:00,305.5,305.52,304.24,304.33,4108.03,1646,304.862
20230320  08:30:00,304.26,304.5,302.01,302.81,71887.84,43269,303.303
20230320  09:00:00,302.82,304.04,302.59,303.85,42777.66,23865,303.383
20230320  09:30:00,303.83,304.93,303.32,304.77,28334.65,15386,304.065
20230320  10:00:00,304.77,305.99,304.62,305.91,27065.03,15098,305.092
20230320  10:30:00,305.93,306.05,304.03,304.09,23568.55,12754,305.097
20230320  11:00:00,304.09,304.32,302.85,303.79,25112.98,13407,303.664
20230320  11:30:00,303.79,304.94,303.55,304.57,22491.33,12392,304.18
20230320  12:00:00,304.61,305.28,304.49,304.93,17445.03,9506,304.957
20230320  12:30:00,304.93,305.44,304.69,305.18,15733.3,8257,305.092
20230320  13:00:00,305.16,305.59,304.65,305.27,16908.5,8927,305.123
20230320  13:30:00,305.28,305.74,304.48,305.17,20235.01,10998,305.086
20230320  14:00:00,305.15,305.51,304.73,305.14,16899.61,8412,305.11
20230320  14:30:00,305.13,306.3,305.02,305.91,45697.44,21982,305.715
20230320  15:00:00,305.93,306.05,305.78,305.87,22904.45,1175,305.95
