Time,Open,High,Low,Close,Volume,Count,Wap
20220407 04:00:00 US/Eastern,353.49,353.71,353.38,353.6,29025,111,353.55
20220407 04:05:00 US/Eastern,353.46,354.23,353.46,354.23,11602,37,353.952
20220407 04:10:00 US/Eastern,354.25,354.3,353.95,354.05,14192,43,354.162
20220407 04:15:00 US/Eastern,354.06,354.1,353.86,353.88,8595,28,354.038
20220407 04:20:00 US/Eastern,354.16,354.26,354.09,354.09,7450,22,354.147
20220407 04:25:00 US/Eastern,354.11,354.27,354.07,354.1,13744,38,354.12
20220407 04:30:00 US/Eastern,354.05,354.28,353.99,354.05,6778,23,354.112
20220407 04:35:00 US/Eastern,354.09,354.09,353.78,353.78,5301,13,353.89
20220407 04:40:00 US/Eastern,353.79,354.16,353.79,354.16,4109,12,354.025
20220407 04:45:00 US/Eastern,354.2,354.33,354.2,354.32,1200,6,354.303
20220407 04:50:00 US/Eastern,354.5,354.7,354.49,354.7,5378,23,354.543
20220407 04:55:00 US/Eastern,354.65,354.98,354.65,354.93,8508,29,354.81
20220407 05:00:00 US/Eastern,354.84,354.91,354.64,354.66,7598,24,354.776
20220407 05:05:00 US/Eastern,354.66,354.67,354.49,354.55,3845,11,354.563
20220407 05:10:00 US/Eastern,354.62,354.63,354.57,354.57,3100,7,354.621
20220407 05:15:00 US/Eastern,354.63,354.89,354.63,354.72,15896,37,354.77
20220407 05:20:00 US/Eastern,354.78,354.86,354.6,354.65,4200,12,354.693
20220407 05:25:00 US/Eastern,354.7,354.72,354.58,354.69,1990,9,354.668
20220407 05:30:00 US/Eastern,354.72,354.72,354.72,354.72,300,1,354.72
20220407 05:35:00 US/Eastern,354.73,354.95,354.72,354.95,7800,14,354.824
20220407 05:40:00 US/Eastern,355.05,355.11,355,355.03,16682,55,355.074
20220407 05:45:00 US/Eastern,354.9,354.9,354.79,354.83,2666,11,354.833
20220407 05:50:00 US/Eastern,354.87,354.93,354.81,354.87,1845,5,354.845
20220407 05:55:00 US/Eastern,355.02,355.08,355.01,355.08,700,3,355.024
20220407 06:00:00 US/Eastern,355,355.15,355,355.15,1359,6,355.111
20220407 06:05:00 US/Eastern,355.08,355.14,355.06,355.14,4180,11,355.093
20220407 06:10:00 US/Eastern,355.1,355.1,355.03,355.05,2479,7,355.054
20220407 06:15:00 US/Eastern,355.16,355.22,355.02,355.1,3767,14,355.132
20220407 06:20:00 US/Eastern,355.1,355.17,355.05,355.16,2349,8,355.106
20220407 06:25:00 US/Eastern,355.15,355.15,355.01,355.06,4233,23,355.081
20220407 06:30:00 US/Eastern,355.01,355.01,354.85,354.85,3657,12,354.917
20220407 06:35:00 US/Eastern,354.8,355.04,354.79,355.03,8587,22,354.924
20220407 06:40:00 US/Eastern,354.86,354.92,354.7,354.79,5974,17,354.794
20220407 06:45:00 US/Eastern,354.76,354.9,354.72,354.9,2399,10,354.794
20220407 06:50:00 US/Eastern,354.85,354.98,354.84,354.84,14494,30,354.931
20220407 06:55:00 US/Eastern,354.83,354.83,354.54,354.54,28092,44,354.629
20220407 07:00:00 US/Eastern,354.59,354.67,354.12,354.16,24736,88,354.328
20220407 07:05:00 US/Eastern,354.24,355.56,354.19,354.75,44530,140,354.934
20220407 07:10:00 US/Eastern,354.68,355.15,354.56,355.07,45650,164,354.756
20220407 07:15:00 US/Eastern,355.09,355.12,354.64,354.64,20736,111,354.894
20220407 07:20:00 US/Eastern,354.6,354.69,354.34,354.35,33470,176,354.571
20220407 07:25:00 US/Eastern,354.32,354.5,354.18,354.33,24230,139,354.312
20220407 07:30:00 US/Eastern,354.34,354.6,354,354.13,37670,160,354.249
20220407 07:35:00 US/Eastern,354.14,354.39,354.05,354.05,31969,118,354.162
20220407 07:40:00 US/Eastern,354.09,354.28,353.98,354.19,43834,182,354.17
20220407 07:45:00 US/Eastern,354.18,354.24,353.94,354.12,23658,98,354.075
20220407 07:50:00 US/Eastern,354.06,354.27,354.06,354.16,6420,29,354.134
20220407 07:55:00 US/Eastern,354.15,354.48,354.12,354.36,14642,76,354.257
20220407 08:00:00 US/Eastern,354.24,355.53,351.75,353.8,98453,264,354.295
20220407 08:05:00 US/Eastern,353.8,353.95,353.72,353.86,31071,138,353.872
20220407 08:10:00 US/Eastern,353.84,353.92,353.55,353.55,56409,220,353.695
20220407 08:15:00 US/Eastern,353.51,353.55,353.28,353.55,48829,216,353.416
20220407 08:20:00 US/Eastern,353.54,353.7,353.35,353.45,41870,173,353.531
20220407 08:25:00 US/Eastern,353.35,353.35,353.13,353.3,29332,118,353.202
20220407 08:30:00 US/Eastern,353.25,353.59,353.05,353.57,54488,233,353.379
20220407 08:35:00 US/Eastern,353.59,353.59,353.34,353.51,27212,125,353.499
20220407 08:40:00 US/Eastern,353.6,353.62,353.38,353.39,27029,111,353.507
20220407 08:45:00 US/Eastern,353.31,353.45,353.15,353.19,12231,89,353.241
20220407 08:50:00 US/Eastern,353.2,353.38,352.71,352.71,28716,142,353.041
20220407 08:55:00 US/Eastern,352.7,352.82,352.49,352.65,100675,418,352.624
20220407 09:00:00 US/Eastern,352.72,352.87,352.11,352.11,75205,312,352.441
20220407 09:05:00 US/Eastern,352.11,352.23,351.98,352.11,94731,367,352.136
20220407 09:10:00 US/Eastern,352.15,352.24,352.08,352.13,37233,185,352.14
20220407 09:15:00 US/Eastern,352.14,352.53,351.93,352.53,48505,218,352.241
20220407 09:20:00 US/Eastern,352.49,352.62,352.31,352.34,47966,228,352.451
20220407 09:25:00 US/Eastern,352.35,352.36,351.99,352.23,34403,129,352.228
20220407 09:30:00 US/Eastern,352.24,354.1,352.09,354.02,1345625,6457,352.875
20220407 09:35:00 US/Eastern,354.02,355,353.66,354.52,1353217,7334,354.311
20220407 09:40:00 US/Eastern,354.53,354.88,353,353.22,1320007,7718,354.12
20220407 09:45:00 US/Eastern,353.21,353.59,352.2,352.41,1267529,7619,352.99
20220407 09:50:00 US/Eastern,352.41,354.44,352.37,354.23,1080417,6381,353.482
20220407 09:55:00 US/Eastern,354.23,354.82,353.9,354.6,927601,5418,354.388
20220407 10:00:00 US/Eastern,354.57,355.73,354.01,354.37,1361437,7956,354.942
20220407 10:05:00 US/Eastern,354.36,354.71,353.38,353.66,1114473,6883,354.084
20220407 10:10:00 US/Eastern,353.69,354.78,353.29,354.48,766015,4509,353.969
20220407 10:15:00 US/Eastern,354.49,354.49,353.59,353.72,589809,3321,353.945
20220407 10:20:00 US/Eastern,353.7,353.74,352.98,353.64,691117,3879,353.307
20220407 10:25:00 US/Eastern,353.65,354.12,353.31,353.51,631579,3767,353.833
20220407 10:30:00 US/Eastern,353.49,354.25,353.07,353.8,647206,3885,353.704
20220407 10:35:00 US/Eastern,353.8,354.5,352.78,352.9,662268,3821,353.76
20220407 10:40:00 US/Eastern,352.87,352.87,351.68,351.9,1103220,6317,352.028
20220407 10:45:00 US/Eastern,351.9,352.14,351.32,351.69,645579,3656,351.758
20220407 10:50:00 US/Eastern,351.71,352.67,351.7,352.46,773225,4181,352.314
20220407 10:55:00 US/Eastern,352.43,352.8,352.09,352.4,378757,2131,352.343
20220407 11:00:00 US/Eastern,352.4,353.3,352.28,352.69,717933,4134,352.846
20220407 11:05:00 US/Eastern,352.68,352.8,351.94,352.05,460846,2490,352.348
20220407 11:10:00 US/Eastern,352.08,352.16,351.29,351.64,610538,3068,351.722
20220407 11:15:00 US/Eastern,351.61,351.76,351.24,351.47,382376,1860,351.473
20220407 11:20:00 US/Eastern,351.44,352,351.27,351.73,511504,2201,351.663
20220407 11:25:00 US/Eastern,351.73,352.09,350.8,351.06,657468,2914,351.363
20220407 11:30:00 US/Eastern,351.08,351.15,350.21,350.42,645961,2939,350.634
20220407 11:35:00 US/Eastern,350.43,351.06,350.42,350.85,416131,1910,350.835
20220407 11:40:00 US/Eastern,350.84,351.06,350.38,350.48,300537,1444,350.699
20220407 11:45:00 US/Eastern,350.46,351.15,350.4,350.49,405148,1946,350.796
20220407 11:50:00 US/Eastern,350.47,350.58,349.58,349.66,761624,3406,350.019
20220407 11:55:00 US/Eastern,349.64,350.18,349.6,350.12,386430,1838,349.905
20220407 12:00:00 US/Eastern,350.11,350.49,349.94,350.07,572376,2483,350.181
20220407 12:05:00 US/Eastern,350.07,350.7,350.04,350.58,401856,1888,350.333
20220407 12:10:00 US/Eastern,350.59,351.11,350.37,350.75,416305,2077,350.752
20220407 12:15:00 US/Eastern,350.75,350.86,350.28,350.45,369897,1831,350.535
20220407 12:20:00 US/Eastern,350.45,351.08,350.26,350.5,319333,1739,350.598
20220407 12:25:00 US/Eastern,350.5,350.69,349.88,350.18,272247,1288,350.255
20220407 12:30:00 US/Eastern,350.19,350.35,349.87,349.88,243863,1151,350.086
20220407 12:35:00 US/Eastern,349.87,350.02,349.52,349.53,375321,1724,349.794
20220407 12:40:00 US/Eastern,349.52,349.75,349.25,349.26,363622,1822,349.496
20220407 12:45:00 US/Eastern,349.27,349.54,348.74,348.76,763306,3337,349.086
20220407 12:50:00 US/Eastern,348.75,349.53,348.69,349.31,393343,1991,349.193
20220407 12:55:00 US/Eastern,349.31,349.85,349.29,349.69,388234,1720,349.55
20220407 13:00:00 US/Eastern,349.66,350.57,349.58,350.39,543798,2144,350.143
20220407 13:05:00 US/Eastern,350.36,350.68,350.16,350.62,277302,1205,350.445
20220407 13:10:00 US/Eastern,350.63,351.62,350.47,351.24,699602,2977,351.254
20220407 13:15:00 US/Eastern,351.21,351.78,351.04,351.56,564568,2541,351.34
20220407 13:20:00 US/Eastern,351.58,352.07,351.39,351.43,574192,2646,351.737
20220407 13:25:00 US/Eastern,351.43,352.46,351.41,352.18,522585,2363,352.028
20220407 13:30:00 US/Eastern,352.18,352.61,351.99,352.07,442768,2106,352.279
20220407 13:35:00 US/Eastern,352.04,352.43,351.72,351.78,455267,2670,352.079
20220407 13:40:00 US/Eastern,351.75,352.2,351.7,351.74,281472,1442,351.915
20220407 13:45:00 US/Eastern,351.73,352.33,351.32,351.4,482301,2454,351.699
20220407 13:50:00 US/Eastern,351.4,351.9,351.26,351.76,408007,2092,351.524
20220407 13:55:00 US/Eastern,351.73,353.29,351.65,353.06,665643,3233,352.735
20220407 14:00:00 US/Eastern,353.05,353.6,352.9,353.13,587025,2795,353.258
20220407 14:05:00 US/Eastern,353.14,353.46,352.61,353.43,436363,1956,352.998
20220407 14:10:00 US/Eastern,353.42,353.42,352.82,352.95,271276,1334,353.103
20220407 14:15:00 US/Eastern,352.95,353.09,352.27,352.39,289871,1535,352.627
20220407 14:20:00 US/Eastern,352.4,352.91,352.4,352.91,270173,1169,352.649
20220407 14:25:00 US/Eastern,352.9,353.95,352.57,352.69,716577,3481,353.408
20220407 14:30:00 US/Eastern,352.68,352.93,352.4,352.76,404442,1862,352.678
20220407 14:35:00 US/Eastern,352.77,353.05,352.39,352.96,249506,1293,352.702
20220407 14:40:00 US/Eastern,352.95,353.34,352.51,353.18,335023,1724,352.884
20220407 14:45:00 US/Eastern,353.18,353.82,352.73,353.48,625290,2940,353.208
20220407 14:50:00 US/Eastern,353.39,354.21,353.3,354.02,564757,2822,353.831
20220407 14:55:00 US/Eastern,354.02,354.99,354.02,354.72,765556,4039,354.409
20220407 15:00:00 US/Eastern,354.67,355.58,354.58,355.25,975397,4855,355.165
20220407 15:05:00 US/Eastern,355.26,355.69,355.08,355.52,724701,3493,355.402
20220407 15:10:00 US/Eastern,355.51,356.17,355.39,356.17,715571,3462,355.875
20220407 15:15:00 US/Eastern,356.18,356.35,355.6,355.67,609904,3255,355.974
20220407 15:20:00 US/Eastern,355.66,355.66,355.02,355.23,636084,3043,355.266
20220407 15:25:00 US/Eastern,355.24,355.53,354.79,354.95,437777,2143,355.129
20220407 15:30:00 US/Eastern,354.96,355.84,354.87,355.77,593929,2956,355.497
20220407 15:35:00 US/Eastern,355.76,355.87,355.45,355.83,519601,2402,355.669
20220407 15:40:00 US/Eastern,355.83,356.25,355.44,355.74,716578,3408,355.877
20220407 15:45:00 US/Eastern,355.76,356.25,355.09,355.28,833494,3971,355.669
20220407 15:50:00 US/Eastern,355.26,355.6,354.37,354.57,1161913,5711,354.899
20220407 15:55:00 US/Eastern,354.56,354.57,353.82,354.13,2228946,9673,354.018
20220407 16:00:00 US/Eastern,354.12,354.25,353.87,354.08,504485,537,354.098
20220407 16:05:00 US/Eastern,354.08,354.33,354.06,354.21,92309,238,354.191
20220407 16:10:00 US/Eastern,354.18,354.35,353.99,354.15,254410,132,354.043
20220407 16:15:00 US/Eastern,354.25,354.31,354.01,354.04,26192,63,354.129
20220407 16:20:00 US/Eastern,354.02,354.1,353.76,353.76,26981,62,353.984
20220407 16:25:00 US/Eastern,353.78,354.1,353.63,353.71,30698,60,353.944
20220407 16:30:00 US/Eastern,353.73,354.1,353.65,353.7,51690,54,353.951
20220407 16:35:00 US/Eastern,353.76,353.81,353.72,353.81,10857,32,353.749
20220407 16:40:00 US/Eastern,353.83,353.83,353.76,353.78,4199,13,353.805
20220407 16:45:00 US/Eastern,353.8,353.86,353.75,353.82,4897,17,353.802
20220407 16:50:00 US/Eastern,353.87,354.08,353.87,354.08,62255,120,354.029
20220407 16:55:00 US/Eastern,354.07,354.08,353.93,353.96,16617,33,354.019
20220407 17:00:00 US/Eastern,353.93,354.04,353.93,353.97,965,4,353.981
20220407 17:05:00 US/Eastern,353.93,354,353.93,354,1000,6,353.993
20220407 17:10:00 US/Eastern,353.95,354,353.89,353.89,1600,3,353.934
